Jatekos, Kartya1, Kartya2, Kartya3, osszeg
A, SQ, SJ, C7, 20
B, H4, HQ, S6, 14
C, HA, S7, HJ, 21
D, S8, S2, H10, 10
E, D8, D9, D7, 24
F, S9, C2, CA, 13
G, H7, CK, H8, 15
A, CK, S9, D3, 10
B, DJ, C4, H9, 10
C, HJ, D8, S6, 10
D, D7, CJ, D10, 17
E, C3, C7, C10, 20
F, S10, DK, D4, 14
G, HA, C9, C6, 15
A, SQ, S9, C2, 19
B, HQ, D3, C5, 10
C, C6, D5, S7, 7
D, S5, HA, S2, 11
E, DQ, D3, D8, 21
F, C10, H10, CA, 21
G, CJ, D7, C8, 18
A, S3, D4, S6, 9
B, HA, S7, DK, 11
C, SK, CK, S2, 12
D, H8, SA, H9, 17
E, DQ, D10, D2, 22
F, D8, C8, C9, 17
G, HK, CQ, C3, 13
A, C8, C4, HJ, 12
B, D8, S4, S3, 8
C, SK, D3, D4, 10
D, D10, S3, S6, 10
E, H5, H9, C10, 14
F, C3, CQ, C5, 18
G, H2, HK, CA, 12
A, H9, DA, H4, 13
B, C8, CA, DK, 19
D, S8, SK, C6, 18
E, DJ, D9, C10, 19
F, C4, S4, S3, 7
G, S2, S5, HA, 11
A, H2, D8, C8, 8
B, D9, HJ, D5, 14
D, H8, D3, S7, 8
E, C2, D7, HK, 10
F, C10, SQ, D4, 10
G, C4, CQ, S9, 14
A, H2, D8, C8, 8
B, D9, SA, D5, 14
D, H8, HJ, S7, 18
E, H2, D7, HK, 12
F, C10, SQ, C2, 12
G, C4, CQ, S9, 14
A, C2, S8, D2, 8
B, SA, C10, S6, 17
D, H5, HA, S7, 16
E, H9, H6, HQ, 25
F, C8, C9, DJ, 17
G, CJ, D6, SQ, 10
A, S9, DA, C6, 11
B, C7, HJ, S8, 10
D, HA, CK, H4, 15
E, HJ, C4, C8, 12
F, D7, HQ, H8, 18
G, CJ, H10, C5, 15
A, H2, S7, SQ, 17
B, DK, S4, C2, 10
D, HK, H7, HQ, 27
E, D6, D2, DK, 18
F, D4, DJ, CJ, 14
G, S6, S9, D3, 15
A, CQ, C4, D3, 14
B, C9, H7, DK, 10
D, C6, DA, DJ, 21
E, H10, HK, D6, 20
F, SA, HJ, S4, 15
G, DQ, D3, D7, 20
A, C2, S6, H8, 8
B, D4, S8, CJ, 10
D, D10, DK, C8, 20
E, S4, SJ, D8, 14
F, S7, C3, C10, 13
G, S10, CK, C7, 17
A, S9, D7, D10, 17
B, D6, D4, H10, 10
D, D3, CA, C3, 14
E, D9, S2, SJ, 12
F, H2, H4, D5, 6
G, C9, HJ, C5, 14
A, SK, SJ, S10, 30
B, D3, D9, CQ, 12
D, HQ, CA, H8, 18
E, D8, C2, D5, 13
G, HJ, H2, DA, 12
A, D2, DJ, H7, 12
B, S6, HJ, D9, 10
D, S2, C6, SQ, 12
E, DQ, C10, D3, 13
G, H4, CK, C4, 14
A, D2, DJ, DK, 22
B, H7, HJ, H4, 21
D, S2, S6, SQ, 18
E, DQ, C10, D9, 19
G, C9, CK, C4, 23
A, DJ, S4, H8, 10
B, D7, C3, S2, 7
D, CQ, S3, S9, 12
E, C2, C5, HA, 11
G, C8, S7, HQ, 10
A, DJ, S4, SJ, 14
B, D7, S5, S2, 7
D, CQ, C3, S9, 13
E, C2, C5, HA, 11
G, S3, S7, HQ, 10
A, DJ, DK, SJ, 20
B, S4, S5, S2, 11
D, CQ, HQ, HK, 20
E, C2, C5, HA, 11
G, S3, S7, S9, 19
A, H8, C9, H3, 11
B, C7, D6, D7, 13
D, S9, H9, D3, 9
E, H2, DJ, C4, 10
G, SK, S2, C3, 12
A, H8, H10, H3, 21
B, C7, C9, D7, 16
D, S9, H9, S2, 11
E, D6, DJ, D3, 19
G, C4, CA, C3, 18
A, D9, DA, SK, 20
B, S10, H9, S3, 13
D, SA, HJ, H7, 17
E, S2, D10, SQ, 12
G, H2, S7, H8, 10
A, C7, H5, D8, 8
B, HQ, HK, H7, 27
D, C10, H10, HA, 21
E, CK, SQ, S5, 15
G, DK, D7, S10, 17
B, H10, S5, D4, 10
D, H8, C3, CQ, 13
E, S7, HK, D8, 10
G, DA, D3, D5, 19
B, CK, H6, S5, 10
D, SJ, C6, C3, 10
G, S8, HQ, C8, 10
B, CK, H6, H8, 14
D, SJ, C6, S5, 15
G, C3, HQ, C8, 11
B, H5, H6, H8, 19
D, SJ, C6, CK, 16
G, H4, HQ, C8, 14
B, H5, H6, H8, 19
D, C3, C6, CK, 19
G, H4, HQ, SJ, 14
B, H5, H6, H8, 19
D, C3, C6, CK, 19
G, H4, HQ, SJ, 14
B, D5, D2, C7, 7
D, DJ, DA, C4, 21
G, SK, S9, C10, 19
B, S5, S7, SK, 22
D, C3, CA, DK, 14
G, C4, D3, D10, 13
B, S10, H7, CQ, 10
D, CK, D8, H3, 10
B, S10, C8, CQ, 18
D, CK, H7, H3, 10
